Date,Expiry,Strike Price,Underlying Value,Spot_At_Expiry,Close,Realized_Payoff,PnL,Viable
2025-04-17,2025-04-17,22550.0,23851.65,23851.65,0.15,0.0,-0.15,False
2025-03-26,2025-04-17,24250.0,23486.85,23851.65,1727.8,398.34999999999854,-1329.4500000000014,False
2025-03-26,2025-04-17,24200.0,23486.85,23851.65,500.0,348.34999999999854,-151.65000000000146,False
2025-03-26,2025-04-17,24150.0,23486.85,23851.65,471.95,298.34999999999854,-173.60000000000144,False
2025-03-26,2025-04-17,21050.0,23486.85,23851.65,9.55,0.0,-9.55,False
2025-03-26,2025-04-17,21000.0,23486.85,23851.65,8.75,0.0,-8.75,False
2025-03-26,2025-04-17,23600.0,23486.85,23851.65,266.8,0.0,-266.8,False
2025-03-26,2025-04-17,23550.0,23486.85,23851.65,252.35,0.0,-252.35,False
2025-03-26,2025-04-17,22400.0,23486.85,23851.65,36.5,0.0,-36.5,False
2025-03-26,2025-04-17,22350.0,23486.85,23851.65,32.95,0.0,-32.95,False
2025-03-26,2025-04-17,20950.0,23486.85,23851.65,10.65,0.0,-10.65,False
2025-03-26,2025-04-17,20900.0,23486.85,23851.65,9.95,0.0,-9.95,False
2025-03-26,2025-04-17,23500.0,23486.85,23851.65,231.9,0.0,-231.9,False
2025-03-26,2025-04-17,24300.0,23486.85,23851.65,1774.85,448.34999999999854,-1326.5000000000014,False
2025-03-26,2025-04-17,23450.0,23486.85,23851.65,211.25,0.0,-211.25,False
2025-03-26,2025-04-17,20850.0,23486.85,23851.65,7.75,0.0,-7.75,False
2025-03-26,2025-04-17,20800.0,23486.85,23851.65,11.35,0.0,-11.35,False
2025-03-26,2025-04-17,23400.0,23486.85,23851.65,195.15,0.0,-195.15,False
2025-03-26,2025-04-17,22250.0,23486.85,23851.65,28.0,0.0,-28.0,False
2025-03-26,2025-04-17,22200.0,23486.85,23851.65,28.35,0.0,-28.35,False
2025-03-26,2025-04-17,20750.0,23486.85,23851.65,7.45,0.0,-7.45,False
2025-03-26,2025-04-17,20700.0,23486.85,23851.65,6.2,0.0,-6.2,False
2025-03-26,2025-04-17,23350.0,23486.85,23851.65,180.0,0.0,-180.0,False
2025-03-26,2025-04-17,23300.0,23486.85,23851.65,165.6,0.0,-165.6,False
2025-03-26,2025-04-17,22150.0,23486.85,23851.65,27.65,0.0,-27.65,False
2025-03-26,2025-04-17,22100.0,23486.85,23851.65,21.45,0.0,-21.45,False
2025-03-26,2025-04-17,20650.0,23486.85,23851.65,4.85,0.0,-4.85,False
2025-03-26,2025-04-17,22300.0,23486.85,23851.65,32.15,0.0,-32.15,False
2025-03-26,2025-04-17,24350.0,23486.85,23851.65,1822.05,498.34999999999854,-1323.7000000000014,False
2025-03-26,2025-04-17,24400.0,23486.85,23851.65,1869.5,548.3499999999985,-1321.1500000000015,False
2025-03-26,2025-04-17,24450.0,23486.85,23851.65,1917.15,598.3499999999985,-1318.8000000000015,False
2025-03-26,2025-04-17,22450.0,23486.85,23851.65,39.15,0.0,-39.15,False
2025-03-26,2025-04-17,21200.0,23486.85,23851.65,11.7,0.0,-11.7,False
2025-03-26,2025-04-17,23750.0,23486.85,23851.65,268.1,0.0,-268.1,False
2025-03-26,2025-04-17,21150.0,23486.85,23851.65,7.2,0.0,-7.2,False
2025-03-26,2025-04-17,21100.0,23486.85,23851.65,8.9,0.0,-8.9,False
2025-03-26,2025-04-17,23700.0,23486.85,23851.65,312.45,0.0,-312.45,False
2025-03-26,2025-04-17,23650.0,23486.85,23851.65,295.0,0.0,-295.0,False
2025-03-26,2025-04-17,24100.0,23486.85,23851.65,441.1,248.34999999999854,-192.75000000000148,False
2025-03-26,2025-04-17,25400.0,23486.85,23851.65,2844.9,1548.3499999999985,-1296.5500000000015,False
2025-03-26,2025-04-17,25350.0,23486.85,23851.65,2795.45,1498.3499999999985,-1297.1000000000013,False
2025-03-26,2025-04-17,25300.0,23486.85,23851.65,2746.05,1448.3499999999985,-1297.7000000000016,False
2025-03-26,2025-04-17,25250.0,23486.85,23851.65,2696.7,1398.3499999999985,-1298.3500000000013,False
2025-03-26,2025-04-17,25200.0,23486.85,23851.65,2647.4,1348.3499999999985,-1299.0500000000015,False
2025-03-26,2025-04-17,25150.0,23486.85,23851.65,2598.15,1298.3499999999985,-1299.8000000000015,False
2025-03-26,2025-04-17,25100.0,23486.85,23851.65,2548.95,1248.3499999999985,-1300.6000000000013,False
2025-03-26,2025-04-17,25050.0,23486.85,23851.65,2499.8,1198.3499999999985,-1301.4500000000016,False
2025-03-26,2025-04-17,25000.0,23486.85,23851.65,2450.7,1148.3499999999985,-1302.3500000000013,False
